titleCh,titleEn,categories,screenLocation,screenTime,totalTime,star
霸王别姬 , Farewell My Concubine,"剧情,爱情",中国内地、中国香港,1993-07-26 上映,171 分钟,9.5
这个杀手不太冷 , Léon,"剧情,动作,犯罪",法国,1994-09-14 上映,110 分钟,9.5
肖申克的救赎 , The Shawshank Redemption,"剧情,犯罪",美国,1994-09-10 上映,142 分钟,9.5
泰坦尼克号 , Titanic,"剧情,爱情,灾难",美国,1998-04-03 上映,194 分钟,9.5
罗马假日 , Roman Holiday,"剧情,喜剧,爱情",美国,1953-08-20 上映,118 分钟,9.5
唐伯虎点秋香 , Flirting Scholar,"喜剧,爱情,古装",中国香港,1993-07-01 上映,102 分钟,9.5
乱世佳人 , Gone with the Wind,"剧情,爱情,历史,战争",美国,1939-12-15 上映,238 分钟,9.5
喜剧之王 , The King of Comedy,"剧情,喜剧,爱情",中国香港,1999-02-13 上映,85 分钟,9.5
楚门的世界 , The Truman Show,"剧情,科幻",美国,,103 分钟,9.0
狮子王 , The Lion King,"动画,歌舞,冒险",美国,1995-07-15 上映,89 分钟,9.0
